#/rn/ls1
#1787	 0.2 1000 0 OUTPUT_REAL_IMAG 0 0
0.2	-6.86711	4.1759
0.201	-6.95785	4.42223
0.202	-7.04729	4.67259
0.203	-7.13545	4.92698
0.205	-7.30791	5.44786
0.209	-7.55153	6.29555
0.21	-7.70727	6.44207
0.211	-7.74944	6.51727
0.212	-7.84116	6.6597
0.213	-7.89846	6.76995
0.216	-8.1685	7.18421
0.218	-8.35961	7.43686
0.219	-8.44901	7.61217
0.22	-8.57463	7.7785
0.223	-8.89162	8.3072
0.23	-9.13138	9.99816
0.231	-9.04213	10.21851
0.236	-8.65318	10.63615
0.237	-8.65856	10.64782
0.238	-8.6993	10.65806
0.239	-8.76636	10.66408
0.24	-8.86119	10.67694
0.25	-10.69502	11.47712
0.251	-10.95984	11.62656
0.252	-11.2254	11.80204
0.253	-11.50459	11.97431
0.255	-12.05728	12.38751
0.256	-12.34385	12.5989
0.27	-18.14958	19.0211
0.271	-18.57534	19.89946
0.277	-19.87615	26.7511
0.278	-19.81244	28.1124
0.279	-19.64597	29.50532
0.28	-19.41593	30.86735
0.281	-19.11402	32.23711
0.282	-18.7335	33.64051
0.286	-15.98024	40.0477
0.287	-14.76792	41.86942
0.288	-12.96425	43.57968
0.289	-10.9443	44.94459
0.29	-8.69188	45.99774
0.291	-6.12934	46.6799
0.292	-3.84465	46.74601
0.293	-1.6998	46.54712
0.298	5.9783	43.15059
0.299	6.87406	42.40587
0.3	7.71539	41.64889
0.301	8.48834	40.89091
0.302	9.11866	40.21854
0.303	9.66978	39.57481
0.304	10.16158	38.95441
0.309	11.98083	36.35894
0.31	12.23353	35.94174
0.311	12.50275	35.54957
0.312	12.7538	35.19292
0.313	12.98733	34.87167
0.316	13.59485	34.01826
0.317	13.7909	33.77763
0.318	13.98273	33.54659
0.319	14.16405	33.34161
0.32	14.34602	33.15117
0.321	14.52876	32.97519
0.322	14.71878	32.8175
0.325	15.28687	32.3946
0.326	15.47327	32.27088
0.327	15.66077	32.15342
0.339	17.9958	31.44449
0.34	18.19915	31.45385
0.341	18.40261	31.47075
0.342	18.60616	31.49928
0.343	18.8177	31.54637
0.344	19.03739	31.6121
0.345	19.26694	31.70035
0.346	19.50348	31.80363
0.347	19.74834	31.93646
0.348	19.99748	32.08206
0.349	20.29593	32.27538
0.35	20.61683	32.48943
0.353	21.80578	33.37353
0.356	23.51982	34.57018
0.365	35.73362	34.95197
0.366	37.43803	33.81975
0.367	39.0416	32.5811
0.368	40.27624	31.04305
0.369	41.48106	29.48105
0.37	42.25626	27.69476
0.371	42.99498	25.90033
0.372	43.37659	24.04679
0.373	43.64281	22.18623
0.374	43.62694	20.46502
0.375	43.42201	18.84725
0.383	39.03338	10.10127
0.384	38.38759	9.46172
0.385	37.74443	8.83218
0.386	37.1851	8.3496
0.387	36.62835	7.87363
0.388	36.08147	7.4346
0.394	33.17574	5.4746
0.399	31.22732	4.46116
0.401	30.54271	4.14554
0.402	30.21186	3.98147
0.403	29.90209	3.83767
0.404	29.61317	3.71372
0.405	29.32553	3.59082
0.415	26.83489	2.70232
0.416	26.62301	2.63986
0.417	26.42139	2.58823
0.418	26.22156	2.53807
0.419	26.02402	2.48647
0.42	25.84105	2.41944
0.427	24.65193	2.03123
0.43	24.20263	1.92509
0.431	24.05795	1.88984
0.432	23.91533	1.85483
0.434	23.63777	1.80019
0.435	23.50924	1.7953
0.436	23.38107	1.79041
0.437	23.25521	1.76688
0.438	23.13258	1.71558
0.442	22.65716	1.56988
0.443	22.54393	1.54045
0.444	22.44153	1.49543
0.445	22.33933	1.4506
0.446	22.23732	1.40596
0.465	20.51899	1.20596
0.466	20.43856	1.21136
0.467	20.36874	1.17753
0.468	20.30016	1.13946
0.469	20.23168	1.10151
0.47	20.16167	1.07803
0.474	19.88595	1.01272
0.475	19.82989	0.93902
0.476	19.77379	0.86553
0.477	19.717	0.80039
0.478	19.65444	0.80872
0.479	19.59197	0.81701
0.488	19.06995	0.69101
0.491	18.90913	0.67423
0.492	18.85572	0.66882
0.493	18.80469	0.65902
0.496	18.65232	0.63064
0.497	18.60484	0.62984
0.498	18.55741	0.62903
0.499	18.51005	0.62823
0.5	18.4631	0.62597
